song_id,title,genre,mood,liked
1,Sunrise City,pop,happy, 1
2,Midnight Coding,lofi,chill, 1
3,Storm Runner,rock,intense, 0
4,Library Rain,lofi,chill, 1
5,Gym Hero,pop,intense, 0
6,Spacewalk Thoughts,ambient,chill, 1
7,Coffee Shop Stories,jazz,relaxed, 1
8,Night Drive Loop,synthwave,moody, 0
9,Focus Flow,lofi,focused, 1
10,Rooftop Lights,indie pop,happy, 1
11,Golden Hour Waltz,classical,nostalgic, 1
12,Streetlight Rhythm,hip hop,confident, 0
13,Blue Canyon,country,hopeful, 0
14,Velvet Skyline,folk,dreamy, 0
15,Neon Afterglow,electronic,energetic, 1
16,Winter Orchard,indie folk,romantic, 0
17,Firelight Parade,disco,triumphant, 0
18,Quiet Harbor,reggaeton,lonely, 0
