id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Waltz,Marina Vale,classical,nostalgic,0.31,96,0.68,0.34,0.95
12,Streetlight Rhythm,Atlas Crew,hip hop,confident,0.78,104,0.72,0.86,0.12
13,Blue Canyon,Willow Reed,country,hopeful,0.58,112,0.74,0.67,0.63
14,Velvet Skyline,Solstice Choir,folk,dreamy,0.44,84,0.62,0.49,0.88
15,Neon Afterglow,Pixel Harbor,electronic,energetic,0.88,128,0.66,0.91,0.09
16,Winter Orchard,The Cedar State,indie folk,romantic,0.49,76,0.79,0.55,0.81
17,Firelight Parade,Brass Meridian,disco,triumphant,0.84,126,0.83,0.90,0.11
18,Quiet Harbor,Mae Rowan,reggaeton,lonely,0.62,96,0.45,0.74,0.32
